103.113.69.63:443#LT [359.06ms]
46.32.185.152:443#LV [238.86ms]
94.158.218.244:443#LV [240.17ms]
5.34.212.95:8443#LV [248.16ms]
72.56.52.196:8443#LV [250.25ms]
77.73.71.105:443#LV [250.83ms]
92.118.170.191:443#LV [261.57ms]
46.32.186.242:2096#LV [263.77ms]
5.34.213.221:443#LV [277.26ms]
5.34.208.18:443#LV [280.88ms]
46.32.186.25:443#LV [281.31ms]
80.96.113.183:443#MD [350.73ms]
80.96.109.157:8443#MD [357.26ms]
91.208.206.179:8443#MD [359.77ms]
91.208.162.68:443#MD [367.86ms]
45.84.0.134:443#MD [399.5ms]
45.86.86.53:443#MD [446.13ms]
185.250.148.4:443#MD [1178.68ms]
185.250.148.240:443#MD [1179.88ms]
176.123.1.97:443#MD [1272.05ms]
166.88.234.116:443#MD [1319.54ms]
89.185.82.90:8443#MK [280.19ms]
46.183.185.142:443#MK [355.39ms]
45.83.141.93:443#MK [441.6ms]
131.196.254.151:443#MX [783.58ms]
131.196.254.84:443#MX [786.07ms]
131.196.254.211:443#MX [861.71ms]
131.196.253.141:443#MX [864.22ms]
131.196.254.203:443#MX [868.6ms]
47.254.231.133:443#MY [优选高速 133.88ms]
47.250.212.59:2053#MY [优选高速 137.23ms]
45.89.107.125:443#MY [489.2ms]
45.89.107.78:2053#MY [521.98ms]
47.250.212.59:443#MY [优选高速 1127.48ms]
78.142.195.227:443#NL [优选高速 171.56ms]
89.110.127.138:443#NL [208.41ms]
89.23.105.189:443#NL [优选高速 208.78ms]
88.210.12.8:443#NL [214.44ms]
64.188.63.28:443#NL [215.67ms]
77.221.132.203:443#NL [215.9ms]
77.105.137.63:2053#NL [216.15ms]
62.84.98.74:8443#NL [216.24ms]
62.84.97.56:8443#NL [217.25ms]
5.231.118.119:2053#NL [217.26ms]
38.54.87.66:443#PH [966.4ms]
82.118.20.234:443#PL [214.39ms]
92.118.205.177:443#PL [235.48ms]
51.68.141.223:443#PL [244.62ms]
51.77.58.226:443#PL [246.24ms]
95.85.254.248:8443#PL [251.23ms]
95.85.255.185:443#PL [252.25ms]
89.125.62.191:8443#PL [256.69ms]
89.125.93.217:443#PL [264.1ms]
95.85.227.236:443#PL [269.54ms]
94.103.0.63:443#PL [269.73ms]
45.12.131.34:8443#PT [799.48ms]
156.244.43.22:443#QA [1370.26ms]
81.181.166.197:443#RO [286.95ms]
45.134.48.53:8443#RO [669.71ms]
38.180.205.71:443#RO [1111.5ms]
185.225.17.13:443#RO [1184.36ms]
185.165.169.144:8443#RO [1286.12ms]
86.122.14.66:443#RO [1318.8ms]
45.89.55.200:8443#RS [398.14ms]
45.15.160.220:443#RS [607.25ms]
45.15.160.250:443#RS [608.17ms]
185.48.250.175:443#RS [1144.42ms]
72.56.246.36:8443#RU [230.64ms]
85.198.110.219:443#RU [250.19ms]
83.147.255.88:443#RU [250.2ms]
84.252.74.122:8443#RU [256.59ms]
84.252.75.139:443#RU [260.64ms]
95.213.226.60:443#RU [263.53ms]
62.113.105.92:443#RU [263.83ms]
5.129.242.175:8443#RU [264.03ms]
72.56.246.228:8443#RU [266.65ms]
5.129.255.39:443#RU [267.63ms]
94.242.59.38:443#SE [216.91ms]
62.182.197.18:443#SE [234.57ms]
95.141.241.216:443#SE [235.69ms]
62.182.196.202:8443#SE [236.12ms]
62.182.193.175:443#SE [236.92ms]
93.115.23.184:443#SE [优选高速 249.86ms]
94.242.58.206:8443#SE [254.46ms]
62.182.198.181:443#SE [264.47ms]
94.242.59.31:443#SE [270.08ms]
62.182.192.194:443#SE [271.23ms]
68.183.183.54:443#SG [90.11ms]
52.76.0.44:443#SG [优选高速 93.57ms]
77.93.90.231:443#SG [优选高速 97.33ms]
52.76.97.123:443#SG [98.59ms]
68.183.227.180:443#SG [98.66ms]
47.82.164.1:443#SG [优选高速 112.49ms]
47.79.239.193:443#SG [优选高速 118.0ms]
104.248.157.201:443#SG [优选高速 233.22ms]
85.149.212.3:443#SG [235.18ms]
66.42.51.60:8443#SG [242.08ms]
5.180.55.43:443#SK [272.4ms]
5.35.103.185:8443#SK [309.03ms]
45.129.141.188:443#SK [766.45ms]
37.9.171.189:443#SK [1201.91ms]
8.213.199.128:443#TH [273.96ms]
45.154.24.89:443#TH [优选高速 409.25ms]
45.150.128.159:443#TH [优选高速 454.19ms]
45.136.254.175:443#TH [优选高速 568.24ms]
43.229.148.43:443#TH [优选高速 823.41ms]
138.2.85.81:2083#TH [845.76ms]
93.115.10.237:2053#TR [275.05ms]
93.115.10.218:2053#TR [302.96ms]
103.83.87.133:443#TR [490.45ms]
107.161.174.99:443#TR [501.77ms]
45.141.148.141:443#TR [658.09ms]
138.124.107.35:443#TR [943.75ms]
138.124.107.132:443#TR [944.71ms]
138.124.107.101:8443#TR [1000.13ms]
138.249.20.76:443#TR [1110.27ms]
185.226.92.190:2053#TR [1175.73ms]
114.33.57.170:443#TW [优选高速 512.73ms]
69.63.199.39:8443#US [优选高速 161.41ms]
64.186.242.138:8443#US [优选高速 165.47ms]
64.186.232.79:8443#US [169.92ms]
64.186.242.147:8443#US [174.14ms]
64.186.239.202:443#US [176.4ms]
64.186.234.243:443#US [177.44ms]
64.186.227.25:8443#US [177.77ms]
69.63.194.165:2053#US [178.79ms]
69.63.194.155:8443#US [187.83ms]
64.186.248.118:8443#US [188.02ms]
77.83.206.191:443#UZ [240.71ms]
64.226.90.155:443#Unknown [212.76ms]
123.58.199.241:443#VN [777.23ms]
102.209.117.68:443#ZA [762.18ms]
139.84.226.30:8443#ZA [1406.37ms]
